tweetid,emojis,emoji_id,count,group,unicode,n,name,e_id
,Center,,,,,,,
,Country,,,Center,,,,
,Transport,,,Center,,,,
,Scene,,,Center,,,,
,Activity,,,Center,,,,
,Food,,,Center,,,,
,Animal,,,Center,,,,
,Symbol,,,Center,,,,
,People,,,Center,,,,
,Face,,,Center,,,,
1,SUN,1,2,Scene,2600,2,Sun,171
1,BEACH-WITH-UMBRELLA,2,9,Scene,1f3d6,9,Beach With Umbrella,9
1,SUNRISE-OVER-MOUNTAINS,3,2,Scene,1f304,2,Sunrise Over Mountains,177
2,HOT-BEVERAGE,4,4,Food,2615,4,Hot Beverage,84
2,RUNNING-SHOE,5,1,Activity,1f45f,1,Running Shoe,146
2,BICYCLE,6,1,Transport,1f6b2,1,Bicycle,14
3,CANADA,7,2,Country,1f1e8-1f1e6,2,Canada,25
3,SNOWFLAKE,8,1,Symbol,2744,1,Snowflake,165
3,ICE-HOCKEY,9,1,Activity,1f3d2,1,Ice Hockey,86
4,MAN-AND-WOMAN-HOLDING-HANDS,10,3,People,1f46b,3,Man And Woman Holding Hands,97
4,GREECE,11,1,Country,1f1ec-1f1f7,1,Greece,71
5,INDIA,13,1,Country,1f1ee-1f1f3,1,India,88
5,FOLDED-HANDS,14,2,Activity,1f64f,2,Folded Hands,64
5,LOCOMOTIVE,15,1,Transport,1f682,1,Locomotive,95
6,VOLCANO,16,2,Scene,1f30b,2,Volcano,191
6,PERSON-BIKING,17,2,Transport,1f6b4,2,Person Biking,129
6,MONKEY-FACE,18,1,Animal,1f435,1,Monkey Face,104
7,MOUNT-FUJI,19,1,Scene,1f5fb,1,Mount Fuji,107
7,PERSON-RUNNING,20,1,Activity,1f3c3,1,Person Running,131
7,FEMALE-SIGN,21,3,Symbol,2640,3,Female Sign,55
7,LEAF-FLUTTERING-IN-WIND,22,1,Symbol,1f343,1,Leaf Fluttering In Wind,94
8,MOVIE-CAMERA,23,4,Activity,1f3a5,4,Movie Camera,110
8,PERSON-TAKING-BATH,24,1,Activity,1f6c0,1,Person Taking Bath,134
8,HOUSE,25,1,Scene,1f3d8,1,House,85
9,SMILING-FACE-WITH-OPEN-MOUTH-,26,1,Face,1f604,1,Smiling Face With Open Mouth,163
9,BRIGHT-BUTTON,27,1,Symbol,1f506,1,Bright Button,21
9,ZZZ,28,2,Activity,1f4a4,2,Zzz,198
10,CAMPING,29,3,Scene,1f3d5,3,Camping,24
10,UNITED-KINGDOM,30,3,Country,1f1ec-1f1e7,3,United Kingdom,189
10,GUARD,31,2,People,1f482,2,Guard,73
11,PERSON-SWIMMING,33,1,Activity,1f3ca,1,Person Swimming,133
11,SUNRISE,34,6,Scene,1f305,6,Sunrise,176
11,TENT,35,1,Scene,26fa,1,Tent,181
12,NETHERLANDS,36,1,Country,1f1f3-1f1f1,1,Netherlands,116
12,CLINKING-BEER-MUGS,38,4,Food,1f37b,4,Clinking Beer Mugs,30
13,GRINNING-FACE-WITH-SMILING-EYES,39,1,Face,1f601,1,Grinning Face With Smiling Eyes,72
13,SUN-WITH-FACE,40,3,Symbol,1f31e,3,Sun With Face,173
13,WATER-WAVE,41,7,Scene,1f30a,7,Water Wave,192
14,SUNSET,42,1,Scene,1f307,1,Sunset,178
14,TROPICAL-DRINK,43,3,Food,1f379,3,Tropical Drink,185
14,DESERT-ISLAND,44,9,Scene,1f3dd,9,Desert Island,40
15,SHIP,46,1,Transport,1f6a2,1,Ship,154
15,SUNFLOWER,47,1,Symbol,1f33b,1,Sunflower,174
16,TOKYO-TOWER,49,3,Scene,1f5fc,3,Tokyo Tower,183
16,SHOPPING-BAGS,50,3,Activity,1f6cd,3,Shopping Bags,155
17,CHEQUERED-FLAG,51,1,Symbol,1f3c1,1,Chequered Flag,27
17,TROPHY,52,4,Symbol,1f3c6,4,Trophy,184
17,AUTOMOBILE,53,1,Transport,1f697,1,Automobile,6
18,WINE-GLASS,54,3,Food,1f377,3,Wine Glass,194
18,KISS,55,1,People,1f48f,1,Kiss,93
19,DIRECT-HIT,58,1,Symbol,1f3af,1,Direct Hit,41
19,ARTIST-PALETTE,59,2,Activity,1f3a8,2,Artist Palette,5
19,PIZZA,60,1,Food,1f355,1,Pizza,137
20,SLOT-MACHINE,61,1,Activity,1f3b0,1,Slot Machine,160
20,WEDDING,63,1,Scene,1f492,1,Wedding,193
21,VICTORY-HAND,64,1,Symbol,270c,1,Victory Hand,190
21,RED-HEART,65,1,Symbol,2764,1,Red Heart,142
