group,subgroup,emojis,name,unicode,nn
Activity,Sport,AMERICAN-FOOTBALL,American Football,1f3c8,2
Activity,R&R,ARTIST-PALETTE,Artist Palette,1f3a8,2
Activity,Sport,BASEBALL,Baseball,26be,1
Activity,R&R,BOOKS,Books,1f4da,1
Activity,,CAMERA,Camera,1f4f7,3
Scene,Nature,CAMPING,Camping,1f3d5,3
Activity,Sport,CROSSED-FLAGS,Crossed Flags,1f38c,2
Activity,Sport,FLAG-IN-HOLE,Flag In Hole,26f3,1
Activity,R&R,FOLDED-HANDS,Folded Hands,1f64f,2
Activity,Music,GUITAR,Guitar,1f3b8,1
Activity,Sport,ICE-HOCKEY,Ice Hockey,1f3d2,1
Activity,Sport,ICE-SKATE,Ice Skate,26f8,1
Activity,Music,MAN-DANCING,Man Dancing,1f57a,1
Activity,Music,MICROPHONE,Microphone,1f3a4,2
Activity,,MOVIE-CAMERA,Movie Camera,1f3a5,4
Activity,Music,MUSICAL-NOTES,Musical Notes,1f3b6,7
Activity,Music,MUSICAL-SCORE,Musical Score,1f3bc,3
Scene,City,NIGHT-WITH-STARS,Night With Stars,1f303,1
Activity,R&R,OPEN-BOOK,Open Book,1f4d6,1
Activity,Sport,PERSON-GOLFING,Person Golfing,1f3cc,1
Activity,Sport,PERSON-RUNNING,Person Running,1f3c3,1
Activity,Sport,PERSON-SURFING,Person Surfing,1f3c4,5
Activity,Sport,PERSON-SWIMMING,Person Swimming,1f3ca,1
Activity,R&R,PERSON-TAKING-BATH,Person Taking Bath,1f6c0,1
Activity,Sport,RUNNING-SHOE,Running Shoe,1f45f,1
Activity,Music,SAXOPHONE,Saxophone,1f3b7,1
Activity,,SHOPPING-BAGS,Shopping Bags,1f6cd,3
Activity,Sport,SKIS,Skis,1f3bf,1
Activity,R&R,SLEEPING-FACE,Sleeping Face,1f634,1
Activity,,SLOT-MACHINE,Slot Machine,1f3b0,1
Activity,,TICKET,Ticket,1f3ab,1
Activity,Music,WOMAN-DANCING,Woman Dancing,1f483,1
Activity,R&R,ZZZ,Zzz,1f4a4,2
Animal,,BUTTERFLY,Butterfly,1f98b,2
Animal,,DEER,Deer,1f98c,1
Animal,,DOG,Dog,1f415,1
Animal,,DOLPHIN,Dolphin,1f42c,1
Animal,,DRAGON,Dragon,1f409,1
Animal,,ELEPHANT,Elephant,1f418,2
Animal,,MONKEY-FACE,Monkey Face,1f435,1
Animal,,MOUSE-FACE,Mouse Face,1f42d,1
Animal,,OCTOPUS,Octopus,1f419,1
Animal,,OWL,Owl,1f989,2
Animal,,PANDA-FACE,Panda Face,1f43c,1
Animal,,PENGUIN,Penguin,1f427,1
Animal,,RHINOCEROS,Rhinoceros,1f98f,1
Animal,,SHEEP,Sheep,1f411,2
Animal,,TWO-HUMP-CAMEL,Two Hump Camel,1f42b,1
Country,,BELGIUM,Belgium,1f1e7-1f1ea,1
Country,,CANADA,Canada,1f1e8-1f1e6,2
Country,,FIJI,Fiji,1f1eb-1f1ef,1
Country,,FRANCE,France,1f1eb-1f1f7,1
Country,,GREECE,Greece,1f1ec-1f1f7,1
Country,,INDIA,India,1f1ee-1f1f3,1
Country,,IRELAND,Ireland,1f1ee-1f1ea,4
Country,,JAMAICA,Jamaica,1f1ef-1f1f2,1
Country,,JAPAN,Japan,1f1ef-1f1f5,1
Country,,MAP-OF-JAPAN,Map Of Japan,1f5fe,1
Country,,NETHERLANDS,Netherlands,1f1f3-1f1f1,1
Country,,NORWAY,Norway,1f1f3-1f1f4,1
Country,,SPAIN,Spain,1f1ea-1f1f8,1
Country,,UNITED-KINGDOM,United Kingdom,1f1ec-1f1e7,3
