emojis,unicode,n,name,e_id
AIRPLANE,2708,3,Airplane,0
AIRPLANE-DEPARTURE,1f6eb,1,Airplane Departure,1
ALIEN,1f47d,2,Alien,2
ALIEN-MONSTER,1f47e,1,Alien Monster,3
AMERICAN-FOOTBALL,1f3c8,2,American Football,4
ARTIST-PALETTE,1f3a8,2,Artist Palette,5
AUTOMOBILE,1f697,1,Automobile,6
BACKHAND-INDEX-POINTING-RIGHT,1f449,2,Backhand Index Pointing Right,7
BASEBALL,26be,1,Baseball,8
BEACH-WITH-UMBRELLA,1f3d6,9,Beach With Umbrella,9
BED,1f6cf,1,Bed,10
BEER-MUG,1f37a,4,Beer Mug,11
BELGIUM,1f1e7-1f1ea,1,Belgium,12
BENTO-BOX,1f371,1,Bento Box,13
BICYCLE,1f6b2,1,Bicycle,14
BIRTHDAY-CAKE,1f382,2,Birthday Cake,15
BLOND-HAIRED-PERSON,1f471,2,Blond Haired Person,16
BLUE-HEART,1f499,1,Blue Heart,17
BOOKS,1f4da,1,Books,18
BOUQUET,1f490,1,Bouquet,19
BOY,1f466,2,Boy,20
BRIGHT-BUTTON,1f506,1,Bright Button,21
BUTTERFLY,1f98b,2,Butterfly,22
CAMERA,1f4f7,3,Camera,23
CAMPING,1f3d5,3,Camping,24
CANADA,1f1e8-1f1e6,2,Canada,25
CASTLE,1f3f0,2,Castle,26
CHEQUERED-FLAG,1f3c1,1,Chequered Flag,27
CHRISTMAS-TREE,1f384,1,Christmas Tree,28
CITYSCAPE-AT-DUSK,1f306,1,Cityscape At Dusk,29
CLINKING-BEER-MUGS,1f37b,4,Clinking Beer Mugs,30
CLINKING-GLASSES,1f942,1,Clinking Glasses,31
COCKTAIL-GLASS,1f378,1,Cocktail Glass,32
CONFETTI-BALL,1f38a,1,Confetti Ball,33
COWBOY-HAT-FACE,1f920,1,Cowboy Hat Face,34
CROISSANT,1f950,1,Croissant,35
CROSSED-FLAGS,1f38c,2,Crossed Flags,36
CROWN,1f451,1,Crown,37
DEER,1f98c,1,Deer,38
DESERT,1f3dc,1,Desert,39
DESERT-ISLAND,1f3dd,9,Desert Island,40
DIRECT-HIT,1f3af,1,Direct Hit,41
DIZZY,1f4ab,1,Dizzy,42
DIZZY-FACE,1f635,1,Dizzy Face,43
DOG,1f415,1,Dog,44
DOLPHIN,1f42c,1,Dolphin,45
DRAGON,1f409,1,Dragon,46
EGGPLANT,1f346,1,Eggplant,47
ELEPHANT,1f418,2,Elephant,48
ENVELOPE,2709,1,Envelope,49
EVERGREEN-TREE,1f332,1,Evergreen Tree,50
EYE,1f441,1,Eye,51
EYES,1f440,1,Eyes,52
FACE-WITH-ROLLING-EYES,1f644,1,Face With Rolling Eyes,53
FAMILY,1f46a,1,Family,54
FEMALE-SIGN,2640,3,Female Sign,55
FIJI,1f1eb-1f1ef,1,Fiji,56
FIRE,1f525,3,Fire,57
FIRE-ENGINE,1f692,1,Fire Engine,58
FIREWORKS,1f386,1,Fireworks,59
FIVE-O-CLOCK,1f554,1,Five O Clock,200
FLAG-IN-HOLE,26f3,1,Flag In Hole,61
FLEUR-DE-LIS,269c,1,Fleur De Lis,62
FLUSHED-FACE,1f633,1,Flushed Face,63
FOLDED-HANDS,1f64f,2,Folded Hands,64
FORK-AND-KNIFE-WITH-PLATE,1f37d,2,Fork And Knife With Plate,65
FRAMED-PICTURE,1f5bc,2,Framed Picture,66
FRANCE,1f1eb-1f1f7,1,France,67
GLOBE-SHOWING-AMERICAS,1f30e,4,Globe Showing Americas,68
GLOBE-SHOWING-ASIA-AUSTRALIA,1f30f,1,Globe Showing Asia Australia,69
GLOBE-SHOWING-EUROPE-AFRICA,1f30d,2,Globe Showing Europe Africa,70
GREECE,1f1ec-1f1f7,1,Greece,71
GRINNING-FACE-WITH-SMILING-EYES,1f601,1,Grinning Face With Smiling Eyes,72
GUARD,1f482,2,Guard,73
GUITAR,1f3b8,1,Guitar,74
HAMBURGER,1f354,1,Hamburger,75
HANDSHAKE,1f91d,1,Handshake,76
HEAR-NO-EVIL-MONKEY,1f649,1,Hear No Evil Monkey,77
HEART-SUIT,2665,1,Heart Suit,78
HELICOPTER,1f681,2,Helicopter,79
HIBISCUS,1f33a,1,Hibiscus,80
HIGH-SPEED-TRAIN,1f684,1,High Speed Train,81
HIGH-SPEED-TRAIN-WITH-BULLET-NOSE,1f685,2,High Speed Train With Bullet Nose,82
