item1,item2,n
SUN,BEACH-WITH-UMBRELLA,2
BEACH-WITH-UMBRELLA,MAN-AND-WOMAN-HOLDING-HANDS,2
BEACH-WITH-UMBRELLA,TROPICAL-DRINK,2
DESERT-ISLAND,MUSICAL-SCORE,2
BACKHAND-INDEX-POINTING-RIGHT,OK-HAND,2
BIRTHDAY-CAKE,CROSSED-FLAGS,2
BIRTHDAY-CAKE,RED-PAPER-LANTERN,2
CROSSED-FLAGS,RED-PAPER-LANTERN,2
RAILWAY-TRACK,WOMAN,2
WATER-WAVE,PALM-TREE,2
DESERT-ISLAND,PERSON-SURFING,2
DESERT-ISLAND,HELICOPTER,2
SUN,SUNRISE-OVER-MOUNTAINS,1
BEACH-WITH-UMBRELLA,SUNRISE-OVER-MOUNTAINS,1
HOT-BEVERAGE,RUNNING-SHOE,1
HOT-BEVERAGE,BICYCLE,1
RUNNING-SHOE,BICYCLE,1
CANADA,SNOWFLAKE,1
CANADA,ICE-HOCKEY,1
SNOWFLAKE,ICE-HOCKEY,1
BEACH-WITH-UMBRELLA,GREECE,1
MAN-AND-WOMAN-HOLDING-HANDS,GREECE,1
INDIA,FOLDED-HANDS,1
INDIA,LOCOMOTIVE,1
FOLDED-HANDS,LOCOMOTIVE,1
VOLCANO,PERSON-BIKING,1
VOLCANO,MONKEY-FACE,1
PERSON-BIKING,MONKEY-FACE,1
MOUNT-FUJI,PERSON-RUNNING,1
MOUNT-FUJI,FEMALE-SIGN,1
PERSON-RUNNING,FEMALE-SIGN,1
MOUNT-FUJI,LEAF-FLUTTERING-IN-WIND,1
PERSON-RUNNING,LEAF-FLUTTERING-IN-WIND,1
FEMALE-SIGN,LEAF-FLUTTERING-IN-WIND,1
CANADA,MOVIE-CAMERA,1
MOVIE-CAMERA,PERSON-TAKING-BATH,1
MOVIE-CAMERA,HOUSE,1
PERSON-TAKING-BATH,HOUSE,1
SMILING-FACE-WITH-OPEN-MOUTH-,BRIGHT-BUTTON,1
SMILING-FACE-WITH-OPEN-MOUTH-,ZZZ,1
BRIGHT-BUTTON,ZZZ,1
FEMALE-SIGN,CAMPING,1
FEMALE-SIGN,UNITED-KINGDOM,1
CAMPING,UNITED-KINGDOM,1
FEMALE-SIGN,GUARD,1
CAMPING,GUARD,1
UNITED-KINGDOM,GUARD,1
PERSON-SWIMMING,SUNRISE,1
PERSON-SWIMMING,TENT,1
SUNRISE,TENT,1
PERSON-BIKING,NETHERLANDS,1
BEACH-WITH-UMBRELLA,CLINKING-BEER-MUGS,1
