emoji1,emoji2,paircount
LIGHT-SKIN-TONE,PERSON-SURFING,3
WATER-WAVE,PALM-TREE,2
RAILWAY-TRACK,WATER-WAVE,2
DESERT-ISLAND,HELICOPTER,2
PERSON-SURFING,DESERT-ISLAND,2
MUSICAL-SCORE,DESERT-ISLAND,2
SKULL,DESERT-ISLAND,2
MAN-AND-WOMAN-HOLDING-HANDS,BEACH-WITH-UMBRELLA,2
TROPICAL-DRINK,BEACH-WITH-UMBRELLA,2
SUN,BEACH-WITH-UMBRELLA,2
GUARD,LIGHT-SKIN-TONE,2
FEMALE-SIGN,LIGHT-SKIN-TONE,2
OK-HAND,BACKHAND-INDEX-POINTING-RIGHT,2
WOMAN,RAILWAY-TRACK,2
HOT-BEVERAGE,ALIEN,2
PALM-TREE,MUSICAL-NOTES,1
DESERT-ISLAND,MUSICAL-NOTES,1
HEART-SUIT,MUSICAL-NOTES,1
TUMBLER-GLASS,MUSICAL-NOTES,1
MAPLE-LEAF,MUSICAL-NOTES,1
ROCKET,MUSICAL-NOTES,1
MOVIE-CAMERA,MUSICAL-NOTES,1
SPARKLES,MUSICAL-NOTES,1
SPEAK-NO-EVIL-MONKEY,MUSICAL-NOTES,1
SEE-NO-EVIL-MONKEY,MUSICAL-NOTES,1
HEAR-NO-EVIL-MONKEY,MUSICAL-NOTES,1
SHOPPING-BAGS,MUSICAL-NOTES,1
BOUQUET,MUSICAL-NOTES,1
SKULL,MUSICAL-NOTES,1
DRAGON,MUSICAL-NOTES,1
CROISSANT,OPEN-BOOK,1
SLEEPING-FACE,OPEN-BOOK,1
SLEEPING-FACE,CROISSANT,1
FORK-AND-KNIFE-WITH-PLATE,PALM-TREE,1
HEART-SUIT,PALM-TREE,1
ELEPHANT,PALM-TREE,1
BUTTERFLY,PALM-TREE,1
HIBISCUS,PALM-TREE,1
SHEAF-OF-RICE,PALM-TREE,1
DOLPHIN,PALM-TREE,1
TWO-HUMP-CAMEL,PALM-TREE,1
FORK-AND-KNIFE-WITH-PLATE,WATER-WAVE,1
BEACH-WITH-UMBRELLA,WATER-WAVE,1
SUN-WITH-FACE,WATER-WAVE,1
LIGHT-SKIN-TONE,WATER-WAVE,1
TUMBLER-GLASS,WATER-WAVE,1
IRELAND,WATER-WAVE,1
BUTTERFLY,WATER-WAVE,1
OCTOPUS,WATER-WAVE,1
VOLCANO,WATER-WAVE,1
WINE-GLASS,WATER-WAVE,1
HIGH-SPEED-TRAIN-WITH-BULLET-NOSE,WATER-WAVE,1
TOKYO-TOWER,WATER-WAVE,1
WOMAN,WATER-WAVE,1
GLOBE-SHOWING-AMERICAS,WATER-WAVE,1
EGGPLANT,WATER-WAVE,1
MAP-OF-JAPAN,WATER-WAVE,1
FAMILY,WATER-WAVE,1
ARTIST-PALETTE,WATER-WAVE,1
PEACE-SYMBOL,WATER-WAVE,1
DOG,WATER-WAVE,1
EYE,WATER-WAVE,1
NATIONAL-PARK,WATER-WAVE,1
SHAMROCK,WATER-WAVE,1
GRINNING-FACE-WITH-SMILING-EYES,WATER-WAVE,1
PISTOL,FORK-AND-KNIFE-WITH-PLATE,1
DEER,FORK-AND-KNIFE-WITH-PLATE,1
NERD-FACE,SMILING-FACE-WITH-HEART-EYES,1
FLUSHED-FACE,SMILING-FACE-WITH-HEART-EYES,1
FLUSHED-FACE,NERD-FACE,1
CASTLE,HELICOPTER,1
BEER-MUG,HELICOPTER,1
PERSON-SURFING,HELICOPTER,1
SUNRISE,HELICOPTER,1
PASSENGER-SHIP,HELICOPTER,1
DESERT-ISLAND,CASTLE,1
LIGHT-SKIN-TONE,CASTLE,1
GUARD,CASTLE,1
CROWN,CASTLE,1
BEER-MUG,DESERT-ISLAND,1
LIGHT-SKIN-TONE,DESERT-ISLAND,1
AIRPLANE-DEPARTURE,DESERT-ISLAND,1
SUNRISE,DESERT-ISLAND,1
PASSENGER-SHIP,DESERT-ISLAND,1
UNITED-KINGDOM,DESERT-ISLAND,1
GLOBE-SHOWING-EUROPE-AFRICA,DESERT-ISLAND,1
SEAT,DESERT-ISLAND,1
GLOBE-SHOWING-AMERICAS,DESERT-ISLAND,1
GLOBE-SHOWING-ASIA-AUSTRALIA,DESERT-ISLAND,1
JAMAICA,DESERT-ISLAND,1
SYRINGE,DESERT-ISLAND,1
PILL,DESERT-ISLAND,1
MUSHROOM,DESERT-ISLAND,1
FIVE-O,DESERT-ISLAND,1
CAMERA,DESERT-ISLAND,1
CLINKING-GLASSES,DESERT-ISLAND,1
DRAGON,DESERT-ISLAND,1
TROPICAL-DRINK,DESERT-ISLAND,1
SHIP,DESERT-ISLAND,1
SUNFLOWER,DESERT-ISLAND,1
SUNSET,DESERT-ISLAND,1
SNOW-CAPPED-MOUNTAIN,BEER-MUG,1
NORWAY,BEER-MUG,1
BEACH-WITH-UMBRELLA,BEER-MUG,1
FLAG-IN-HOLE,BEER-MUG,1
PERSON-SURFING,BEER-MUG,1
RAINBOW,BEER-MUG,1
IRELAND,BEER-MUG,1
SUNRISE,BEER-MUG,1
PASSENGER-SHIP,BEER-MUG,1
NORWAY,SNOW-CAPPED-MOUNTAIN,1
FLAG-IN-HOLE,BEACH-WITH-UMBRELLA,1
LIGHT-SKIN-TONE,BEACH-WITH-UMBRELLA,1
RAILWAY-TRACK,BEACH-WITH-UMBRELLA,1
MOTOR-BOAT,BEACH-WITH-UMBRELLA,1
FIREWORKS,BEACH-WITH-UMBRELLA,1
MOVIE-CAMERA,BEACH-WITH-UMBRELLA,1
CLINKING-BEER-MUGS,BEACH-WITH-UMBRELLA,1
WINE-GLASS,BEACH-WITH-UMBRELLA,1
HIGH-SPEED-TRAIN-WITH-BULLET-NOSE,BEACH-WITH-UMBRELLA,1
AIRPLANE,BEACH-WITH-UMBRELLA,1
TOKYO-TOWER,BEACH-WITH-UMBRELLA,1
WOMAN,BEACH-WITH-UMBRELLA,1
SUNGLASSES,BEACH-WITH-UMBRELLA,1
GLOBE-SHOWING-AMERICAS,BEACH-WITH-UMBRELLA,1
EGGPLANT,BEACH-WITH-UMBRELLA,1
MAP-OF-JAPAN,BEACH-WITH-UMBRELLA,1
FAMILY,BEACH-WITH-UMBRELLA,1
ARTIST-PALETTE,BEACH-WITH-UMBRELLA,1
PEACE-SYMBOL,BEACH-WITH-UMBRELLA,1
DOG,BEACH-WITH-UMBRELLA,1
EYE,BEACH-WITH-UMBRELLA,1
NATIONAL-PARK,BEACH-WITH-UMBRELLA,1
HOT-BEVERAGE,BEACH-WITH-UMBRELLA,1
SUNRISE-OVER-MOUNTAINS,BEACH-WITH-UMBRELLA,1
BOOKS,BEACH-WITH-UMBRELLA,1
CANADA,BEACH-WITH-UMBRELLA,1
HIGH-VOLTAGE,BEACH-WITH-UMBRELLA,1
GREECE,BEACH-WITH-UMBRELLA,1
RUNNING-SHOE,BEACH-WITH-UMBRELLA,1
BICYCLE,BEACH-WITH-UMBRELLA,1
PERSON-SURFING,SUN-WITH-FACE,1
LIGHT-SKIN-TONE,SUN-WITH-FACE,1
SKIS,SUN-WITH-FACE,1
BUTTERFLY,SUN-WITH-FACE,1
POULTRY-LEG,SUN-WITH-FACE,1
DIZZY,SUN-WITH-FACE,1
MOSQUE,SUN-WITH-FACE,1
SHALLOW-PAN-OF-FOOD,SUN-WITH-FACE,1
GRINNING-FACE-WITH-SMILING-EYES,SUN-WITH-FACE,1
SKIS,PERSON-SURFING,1
AIRPLANE-DEPARTURE,PERSON-SURFING,1
SUNRISE,PERSON-SURFING,1
PASSENGER-SHIP,PERSON-SURFING,1
PERSON-GOLFING,PERSON-SURFING,1
FIJI,PERSON-SURFING,1
ROCKET,PERSON-SURFING,1
ALIEN-MONSTER,PERSON-SURFING,1
SKIS,LIGHT-SKIN-TONE,1
AIRPLANE-DEPARTURE,LIGHT-SKIN-TONE,1
RAISED-FIST,LIGHT-SKIN-TONE,1
MIDDLE-FINGER,LIGHT-SKIN-TONE,1
SHEEP,LIGHT-SKIN-TONE,1
RAILWAY-TRACK,LIGHT-SKIN-TONE,1
ROCKET,LIGHT-SKIN-TONE,1
ALIEN-MONSTER,LIGHT-SKIN-TONE,1
CROWN,LIGHT-SKIN-TONE,1
UNITED-KINGDOM,LIGHT-SKIN-TONE,1
FOLDED-HANDS,LIGHT-SKIN-TONE,1
CAMPING,LIGHT-SKIN-TONE,1
WINE-GLASS,LIGHT-SKIN-TONE,1
